Kami mendapat rumah murah di dekat sungai.,We got a cheap house near the river.
Aku sadar sekarang.,I realised now.
I realised now.,Aku sadar sekarang.

Udara di sini bersih.,The air here is clean.
The air here is clean.,Udara di sini bersih.

Alam Indonesia indah.,Indonesia's nature is beautiful.
Indonesia's nature is beautiful.,Alam Indonesia indah.

Pohon itu sangat tinggi.,That tree is very tall.
That tree is very tall.,Pohon itu sangat tinggi.

Mangga ini manis.,This mango is sweet.
This mango is sweet.,Mangga ini manis.

Cabai itu sangat pedas.,That chilli is very spicy.
That chilli is very spicy.,Cabai itu sangat pedas.

Sayur ini segar.,This vegetable is fresh.
This vegetable is fresh.,Sayur ini segar.

Aku merasa ngantuk.,I feel sleepy.
I feel sleepy.,Aku merasa ngantuk.

Ini pengecualian.,This is an exception.
This is an exception.,Ini pengecualian.

Itu tidak biasa.,That is not usual.
That is not usual.,Itu tidak biasa.

Dia sedang lemah.,He/She is weak.
He/She is weak.,Dia sedang lemah.

Lamaran saya ditolak.,My application was rejected.
My application was rejected.,Lamaran saya ditolak.

Racun itu berbahaya.,That poison is dangerous.
That poison is dangerous.,Racun itu berbahaya.

Apakah kamu punya pertanyaan?,Do you have a question?
Do you have a question?,Apakah kamu punya pertanyaan?

Kalian bisa duduk di sana.,You all can sit there.
You all can sit there.,Kalian bisa duduk di sana.

"Saya suka Eropa, khususnya Swedia.","I like Europe, especially Sweden."
"I like Europe, especially Sweden.","Saya suka Eropa, khususnya Swedia."

"Menurut saya, pendapat kamu bagus.","In my opinion, your opinion is good."
"In my opinion, your opinion is good.","Menurut saya, pendapat kamu bagus."

Area pembayaran ada di sana.,The payment area is over there.
The payment area is over there.,Area pembayaran ada di sana.

annoying person,orang yang menyebalkan
nothing special,tidak ada yang istimewa
except,kecuali
a lot of ice,banyak es
arrive,tiba / sampai
sunset,matahari terbenam
socks,kaos kaki
gloves,sarung tangan
to wear,memakai
heavy rain,deras
dry,kering
to leave,meninggalkan
to leak,bocor
builder or mechanic,tukang
roof,atap
broken,rusak
blocked or clogged,tersumbat
tap,keran
emergency,darurat
American TV programme,program TV Amerika
all three,ketiganya
as tall as,sama tingginya dengan
short,pendek
time limit or deadline,batas waktu
task,tugas
team,tim
group,grup
orang yang menyebalkan,annoying person
tidak ada yang istimewa,nothing special
kecuali,except
banyak es,a lot of ice
tiba / sampai,arrive
matahari terbenam,sunset
kaos kaki,socks
sarung tangan,gloves
memakai,to wear
deras,heavy rain
kering,dry
meninggalkan,to leave
bocor,to leak
tukang,builder or mechanic
atap,roof
rusak,broken
tersumbat,blocked or clogged
keran,tap
darurat,emergency
program TV Amerika,American TV programme
ketiganya,all three
sama tingginya dengan,as tall as
pendek,short
batas waktu,time limit or deadline
tugas,task
tim,team
grup,group
It is often dark now,Sekarang sering kali gelap
The drain is blocked,Saluran pembuangan tersumbat
Is the process quick,Apakah prosesnya cepat
England is as cold as Wales,Inggris sedingin Wales
I will arrive in the UK on 6 December,Saya akan tiba di Inggris pada 6 Desember
My house roof is leaking,Atap rumah saya bocor
I am wearing socks and gloves,Saya memakai kaos kaki dan sarung tangan
The rain is heavy today,Hari ini hujan deras
The laundry is dry,Jemuran sudah kering
Call a builder if it is an emergency,Panggil tukang kalau darurat
I watch American TV programmes,Saya menonton program TV Amerika
All three are good,Ketiganya bagus
He is as tall as me,Dia sama tingginya dengan saya
Our team works hard,Tim kami bekerja keras
The deadline is tomorrow,Batas waktu besok
Do you prefer working alone rather than with a group,Kamu lebih suka kerja sendiri daripada kerja dengan grup
Nothing special today,Tidak ada yang istimewa hari ini
That annoying person left,Orang yang menyebalkan itu pergi
Sekarang sering kali gelap,It is often dark now
Saluran pembuangan tersumbat,The drain is blocked
Apakah prosesnya cepat,Is the process quick
Inggris sedingin Wales,England is as cold as Wales
Saya akan tiba di Inggris pada 6 Desember,I will arrive in the UK on 6 December
Atap rumah saya bocor,My house roof is leaking
Saya memakai kaos kaki dan sarung tangan,I am wearing socks and gloves
Hari ini hujan deras,The rain is heavy today
Jemuran sudah kering,The laundry is dry
Panggil tukang kalau darurat,Call a builder if it is an emergency
Saya menonton program TV Amerika,I watch American TV programmes
Ketiganya bagus,All three are good
Dia sama tingginya dengan saya,He is as tall as me
Tim kami bekerja keras,Our team works hard
Batas waktu besok,The deadline is tomorrow
Kamu lebih suka kerja sendiri daripada kerja dengan grup,Do you prefer working alone rather than with a group
Tidak ada yang istimewa hari ini,Nothing special today
Orang yang menyebalkan itu pergi,That annoying person left


cuaca,weather
weather,cuaca
akan,will / going to
will / going to,akan
berubah,to change
to change,berubah
cuaca akan berubah,the weather will change
the weather will change,cuaca akan berubah
suhu,temperature
temperature,suhu
menurun,to decrease
to decrease,menurun
turun,to go down / decrease
to go down / decrease,turun
semakin,the more / increasingly
the more / increasingly,semakin

gaji,salary
salary,gaji
pajak,tax
tax,pajak
dana,fund / funds
fund / funds,dana
tergantung,to depend
to depend,tergantung
menghasilkan uang,to earn money
to earn money,menghasilkan uang

pemerintah,government
government,pemerintah
kebijakan,policy
policy,kebijakan
perdana menteri,prime minister
prime minister,perdana menteri
raja,king
king,raja
ratu,queen
queen,ratu
imigran,immigrant
immigrant,imigran
sah,official / legal / valid
official / legal / valid,sah
kontroversial,controversial
controversial,kontroversial

orang lanjut usia,elderly people
elderly people,orang lanjut usia
lansia,elderly people
elderly people,lansia
orang manula,elderly people
elderly people,orang manula
pensiun,retired / to retire
retired / to retire,pensiun

pengiriman,shipping / delivery
shipping / delivery,pengiriman
sikat gigi elektrik,electric toothbrush
electric toothbrush,sikat gigi elektrik

dokter gigi,dentist
dentist,dokter gigi
perawatan,care / treatment
care / treatment,perawatan
sulit,difficult
difficult,sulit
lebih sulit,more difficult
more difficult,lebih sulit
rumit,complicated / complex
complicated / complex,rumit
lebih rumit,more complicated
more complicated,lebih rumit

gila,crazy
crazy,gila

Cuaca akan berubah besok.,The weather will change tomorrow.
The weather will change tomorrow.,Cuaca akan berubah besok.
Suhu menurun pada malam hari.,The temperature decreases at night.
The temperature decreases at night.,Suhu menurun pada malam hari.
Harga tiket pesawat turun hari ini.,The plane ticket price went down today.
The plane ticket price went down today.,Harga tiket pesawat turun hari ini.
"Semakin dingin cuacanya, semakin banyak baju yang saya pakai.","The colder the weather is, the more clothes I wear."
"The colder the weather is, the more clothes I wear.","Semakin dingin cuacanya, semakin banyak baju yang saya pakai."
Pemerintah menaikkan pajak tahun ini.,The government increased taxes this year.
The government increased taxes this year.,Pemerintah menaikkan pajak tahun ini.
Gaji saya tergantung pada kinerja saya.,My salary depends on my performance.
My salary depends on my performance.,Gaji saya tergantung pada kinerja saya.
"Semakin banyak kamu menghasilkan uang, semakin banyak pajak yang kamu bayar.","The more money you earn, the more tax you pay."
"The more money you earn, the more tax you pay.","Semakin banyak kamu menghasilkan uang, semakin banyak pajak yang kamu bayar."
Pemerintah memberi dana untuk orang lanjut usia.,The government gives funds for elderly people.
The government gives funds for elderly people.,Pemerintah memberi dana untuk orang lanjut usia.
Kakek saya sudah pensiun.,My grandfather is already retired.
My grandfather is already retired.,Kakek saya sudah pensiun.
Raja dan ratu tinggal di istana.,The king and queen live in a palace.
The king and queen live in a palace.,Raja dan ratu tinggal di istana.
Perdana menteri mengumumkan kebijakan baru.,The prime minister announced a new policy.
The prime minister announced a new policy.,Perdana menteri mengumumkan kebijakan baru.
Kebijakan baru itu sangat kontroversial.,That new policy is very controversial.
That new policy is very controversial.,Kebijakan baru itu sangat kontroversial.
Banyak imigran bekerja keras dan membayar pajak.,Many immigrants work hard and pay taxes.
Many immigrants work hard and pay taxes.,Banyak imigran bekerja keras dan membayar pajak.
Status visanya sudah sah.,His/Her visa status is already official / valid.
His/Her visa status is already official / valid.,Status visanya sudah sah.
Beberapa orang bilang dia gila.,Some people say he is crazy.
Some people say he is crazy.,Beberapa orang bilang dia gila.
Pengiriman barang ini biasanya dua hari.,Shipping for these goods is usually two days.
Shipping for these goods is usually two days.,Pengiriman barang ini biasanya dua hari.
Saya memakai sikat gigi elektrik setiap pagi dan malam.,I use an electric toothbrush every morning and night.
I use an electric toothbrush every morning and night.,Saya memakai sikat gigi elektrik setiap pagi dan malam.
Perawatan gigi itu sangat penting.,Dental care is very important.
Dental care is very important.,Perawatan gigi itu sangat penting.
Saya harus pergi ke dokter gigi besok.,I have to go to the dentist tomorrow.
I have to go to the dentist tomorrow.,Saya harus pergi ke dokter gigi besok.
"Belajar bahasa Indonesia itu sulit, tapi bahasa lain bisa lebih sulit.","Learning Indonesian is difficult, but other languages can be more difficult."
"Learning Indonesian is difficult, but other languages can be more difficult.","Belajar bahasa Indonesia itu sulit, tapi bahasa lain bisa lebih sulit."
Masalah ini lebih rumit dari yang saya kira.,This problem is more complicated than I thought.
This problem is more complicated than I thought.,Masalah ini lebih rumit dari yang saya kira.


Can you take my or our picture.,"Tolong potret, ya?"
"Tolong potret, ya?",Can you take my or our picture.
May i take a picture of you?,Mau dipotret?
Mau dipotret?,May i take a picture of you?
Wanna have a picture taken with me?,Mau dipotret sama saya?
Mau dipotret sama saya?,Wanna have a picture taken with me?
May I take pictures here?,Boleh potret disini?
Boleh potret disini?,May I take pictures here?
"How do you say ""flower"" in Indonesian?",Bagaimana bilang “flower” di bahasa Indonesia?
Bagaimana bilang “flower” di bahasa Indonesia?,"How do you say ""flower"" in Indonesian?"
How do you say this in Indonesian?,Bagaimana bilang ini di bahasa Indonesia?
Bagaimana bilang ini di bahasa Indonesia?,How do you say this in Indonesian?
How do you say that in Indonesian?,Bagaimana bilang itu di bahasa Indonesia?
Bagaimana bilang itu di bahasa Indonesia?,How do you say that in Indonesian?
"Can you write this down, please?","Tolong tulis, ya?"
"Tolong tulis, ya?","Can you write this down, please?"
"Can you pronounce this, please?","Tolong ucapkan, ya?"
"Tolong ucapkan, ya?","Can you pronounce this, please?"
What does this acronym PKB mean?,Apa maksudnya singkatan PKB?
Apa maksudnya singkatan PKB?,What does this acronym PKB mean?
What does this acronym mean?,Apa maksudnya singkatan ini?
Apa maksudnya singkatan ini?,What does this acronym mean?
What does that acronym mean?,Apa maksudnya singkatan itu?
Apa maksudnya singkatan itu?,What does that acronym mean?
"Check-in, please.",Mau check-in dulu.
Mau check-in dulu.,"Check-in, please."
Your name please.,Siapa nama Anda?
Siapa nama Anda?,Your name please.
How is it spelled?,Bagaimana dieja?
Bagaimana dieja?,How is it spelled?
What time is checkout?,Jam berapa check-out?
Jam berapa check-out?,What time is checkout?
Do you have a power converter?,Ada konverter listrik?
Ada konverter listrik?,Do you have a power converter?
Can I have some more towels?,Boleh minta handuk lagi?
Boleh minta handuk lagi?,Can I have some more towels?
What's inside the package?,Ada apa di dalam paketnya?
Ada apa di dalam paketnya?,What's inside the package?
Is there an ATM near here?,Dimana bisa tukar uang? Where can i change money? Ada mesin ATM yang dekat dari sini?
Dimana bisa tukar uang? Where can i change money? Ada mesin ATM yang dekat dari sini?,Is there an ATM near here?
Smaller denominations please.,Minta uang kecil.
Minta uang kecil.,Smaller denominations please.
Is there a bank near here?,Ada bank yang dekat dari sini?
Ada bank yang dekat dari sini?,Is there a bank near here?
Do you have a telephone card?,Ada kartu telpon?
Ada kartu telpon?,Do you have a telephone card?
"One Rp 5,000 card, please.",Minta kartu lima ribuan.
Minta kartu lima ribuan.,"One Rp 5,000 card, please."
"One ticket, please.","Minta satu karcis, ya?"
"Minta satu karcis, ya?","One ticket, please."
I would like to rent a cell phone.,Saya mau sewa HP.
Saya mau sewa HP.,I would like to rent a cell phone.
Are incoming calls free?,Apa telpon yang masuk gratis?
Apa telpon yang masuk gratis?,Are incoming calls free?
How much are calls to the US?,Berapa kalau menelpon ke Amerika ?
Berapa kalau menelpon ke Amerika ?,How much are calls to the US?
How do you eat this?,Bagaimana cara makan ini?
Bagaimana cara makan ini?,How do you eat this?
Do you add something to this?,Apa lagi yang harus ditambahkan?
Apa lagi yang harus ditambahkan?,Do you add something to this?
Is this spicy?,Ini pedas?
Ini pedas?,Is this spicy?
I’m a vegetarian.,Saya vegetarian.
Saya vegetarian.,I’m a vegetarian.
I can’t eat meat.,Saya tidak boleh makan daging.
Saya tidak boleh makan daging.,I can’t eat meat.
I can’t eat fish.,Saya tidak boleh makan ikan.
Saya tidak boleh makan ikan.,I can’t eat fish.
Help!,Tolong!
Tolong!,Help!
Call the police!,Hubungi polisi!
Hubungi polisi!,Call the police!
Please take me to the doctor.,Minta tolong bawa saya ke dokter.
Minta tolong bawa saya ke dokter.,Please take me to the doctor.
I need a doctor.,Saya perlu ke dokter.
Saya perlu ke dokter.,I need a doctor.
I need a pharmacy.,Saya perlu ke apotik.
Saya perlu ke apotik.,I need a pharmacy.
Please call an ambulance.,Minta tolong hubungi ambulans.
Minta tolong hubungi ambulans.,Please call an ambulance.
I need medicine.,Saya perlu obat.
Saya perlu obat.,I need medicine.
I have a stomachache.,Saya sakit perut.
Saya sakit perut.,I have a stomachache.
I have diarrhea.,Saya menceret!
Saya menceret!,I have diarrhea.
I have a headache.,Saya sakit kepala.
Saya sakit kepala.,I have a headache.
I need an ambulance.,Saya perlu ambulans.
Saya perlu ambulans.,I need an ambulance.
Cold medicine please.,Minta obat pilek.
